S.No.,URL,Bio,Following count,Followers count,Location,Website
1,https://twitter.com/GTNUK1,"Providing Entertainment & Travel to Commercial Radio. Reaching 28.9M weekly listeners. Winners of The Arqiva National Sales Team of the Year 2010, 2011 & 2016",460,127,"London, England",gtn.uk.com/index.php
2,https://twitter.com/whatsapp,"Simple, reliable, private.",3,5400000.0,California,
3,https://twitter.com/aacb_CBPTrade,Customs Broker,125,32,"Florida, USA",
4,https://twitter.com/aacbdotcom,A & A Freight | Warehousing | Customs Brokerage | Helping people ship across borders.,3987,665,Worldwide,aacb.com
5,https://twitter.com/@AAWindowPRODUCT,A commercial glass and glazing company serving the window industry in New England since 1954. #SafetyQualityService,89,80,"Malden, MA",aawindowproducts.com
6,https://www.twitter.com/aandb_kia,"A&B Kia is a Kia dealer in Benwood, WV. Stay connected to exceed expectations. Build strong relationships. Drive the best with us.",339,296,"Benwood, West Virginia ",aandbautosales.com
7,https://twitter.com/ABHomeInc,"Industry leader in wholesale home decor, furniture, and garden, since 1993.",181,364,"Rancho Cucamonga, CA",abhomeinc.com
8,https://twitter.com/Abrepro,"From large format black & white prints to the most sophisticated of digital color printing jobs, A & B can get the job done right.",125,133,"Bentonville, AR",abrepro.com
9,http://www.twitter.com,,,,,
10,https://twitter.com/ACChristofiLtd,"A & C CHRISTOFI LTD is a fast growing professional services company based in Limassol, Cyprus. Our main Concern is your Business.",292,89,Cyprus,acccyp.com
11,https://twitter.com/aeclothing1,Used Clothing Distributor,0,15,Carteret,aeclothing.net
12,http://www.twitter.com/,,,,,
13,https://twitter.com/AETechnologies1,"Boulder, CO USAae-technologies.comJoined February 2012",1,36,"Boulder, CO USA",ae-technologies.com
14,http://www.twitter.com/wix,"Create, manage and grow your business online with Wix. It’s more than just a website builder, it’s how your vision comes to life. For support: 
@WixHelp
.",3695,418900.0,We're everywhere!,wix.com
15,https://twitter.com/AGInsuranceLLC,"A & G Insurance prides itself on being your local, full service, Independent Insurance Agency.",260,42,Connecticut,aginsuranceinc.com
